#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
1,"AFFETMEM","BLOK3",74,142,"turkce drill","","AFFETMEM",2023-01-13,03:02,65,69,59,0,54,0,10,-11,D#/E♭ Minor,4,2023-12-07,3WCrBnWabeuTk2wr6UwaYV,"Mundo Music",2A,https://p.scdn.co/mp3-preview/2284a31f4321a47cc0d1adb12919c0244ca6fe59?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515aa41ae8c6a9e712d868b993
2,"CİRO","BLOK3",70,145,"turkce drill","","CİRO",2022-03-11,02:06,69,55,12,0,75,10,30,-11,F Minor,4,2023-12-07,65oylkvpvUbOE6h80fdw2V,"Mundo Music",4A,https://p.scdn.co/mp3-preview/54df1ef495fba0bb1350e510b8e2606ef379cbaa?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048515b9968a96c04febc0cbcffca
3,"Bul Beni","Sedef Sebüktekin,Canozan",46,125,"turkish alt pop, turkish rock, ","Pop, Rock","Bul Beni",2017-06-15,03:58,69,51,78,84,6,0,40,-11,E Minor,4,2023-12-07,5CG349EjOLsKraA4SsTSbi,"Karabalik Records",9A,https://p.scdn.co/mp3-preview/ba6831baa9ae9d01ce3b90c33b767a4283da3fe6?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e1c3cdae6624018ff558d6e7
4,"Kurtlar Vadisi Operasyon Darbuka Müziği","haskin",43,190,"","","Kurtlar Vadisi Operasyon Müzikleri",2020-12-18,02:33,57,74,0,85,26,0,10,-14,C♯/D♭ Major,4,2023-12-07,0jMhJqeTKQG51kwbNn7Ppi,"2621142 Records DK",3B,https://p.scdn.co/mp3-preview/bc3a4058123619f2f0eee29d7229387aaefbd5ca?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516de2859149b0e4eefacac167
5,"24/7","ALIZADE,BEGE",73,170,"zhenskiy rep, turkce drill, turkish hip hop, turkish trap","Hip Hop","24/7",2023-04-21,03:06,59,71,0,0,28,20,30,-6,B Minor,4,2023-12-07,4UySkSnMBKf1PS32agnwxp,"New Wave",10A,https://p.scdn.co/mp3-preview/2b2c2ce9ce20a8b595d4b6879d8714a1a3f3e602?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851233d34d11189c085df678d87
6,"VUR","BLOK3",74,143,"turkce drill","","VUR",2022-11-11,03:10,61,57,36,0,70,10,10,-14,C♯/D♭ Major,4,2023-12-07,2Nt4eocAv9wi1vHshhSdpF,"Mundo Music",3B,https://p.scdn.co/mp3-preview/34376ab251d36e42c1f40000b8bb9d979e3efb49?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485199d9aae90ac78f6a68a3360e
7,"Anlatamam","Toygar Işıklı",65,132,"turkish soundtrack","Pop","Kara Sevda (Orijinal Dizi Müzikleri)",2016-10-12,02:12,64,33,92,86,25,0,10,-15,C Minor,4,2023-12-07,6nGWEuI70w30Rvk2IEBguZ,"Arven Records",5A,https://p.scdn.co/mp3-preview/865a6c25def1618c3f94cf3255808774135ae12d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ee54dc4ce2b1d5ccf3594a68
8,"Paspartu","Ezhel",45,147,"turkish hip hop, turkish trap","Hip Hop","Paspartu",2023-03-16,04:34,62,64,49,0,67,20,10,-7,C♯/D♭ Major,4,2023-12-07,0ufocYYqahx6pVSERRj4HL,"StageArt Europe",3B,https://p.scdn.co/mp3-preview/4ae6d0a7feea54c780ffd99bbcadb67b239f6086?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851dce6659f1fe9d0366f70cbb2
9,"TALIBANA","DEHA INC.,Reckol",67,123,"new school turkce rap, turkce trap metal, turkce drill","Hip Hop, Metal","TALIBANA",2023-02-14,02:38,89,57,12,0,47,10,10,-11,A Major,4,2023-12-07,3HoHBzUrwYNbzXGKfHIRAT,"Reckol Music",11B,https://p.scdn.co/mp3-preview/69143681413d704749a068a22e7a2f6ff7d6feb7?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a35c05f61bf3b4a29c48870c
10,"aklına ben gelicem","BLOK3",80,200,"turkce drill","","aklına ben gelicem",2023-09-22,02:29,28,55,15,0,22,0,20,-11,A#/B♭ Minor,4,2023-12-07,3ZwRkdnTb4az8X5n4WXuHA,"Mundo Music",3A,https://p.scdn.co/mp3-preview/182a77b77e497110e9f25c66594f43a1a51ffc61?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048517a63255a1952dbb456bf3b9a
11,"NKBİ X YAPAMAM - Remix","Lvbel C5,Güneş",73,100,"turkce drill, turkish hip hop, turkish trap, turkce kadin rap","Hip Hop","NKBİ X YAPAMAM (Remix)",2022-12-30,03:02,56,67,1,0,28,0,0,-7,D Minor,4,2023-12-07,4ist5GP5r7UDz9gdsiJmYd,"Lais Records & ℗ Universal Music Turkey; ℗ 2022 EMI - Kent Elektronik Sanayi ve Ticaret A.S. & M.O.B Entertainment",7A,https://p.scdn.co/mp3-preview/0231771b7ead910245f12d8376c537bcb4f30d8e?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512dcbe9dbfb79dd287c351842
12,"Romeo","Charlotte Cardin",37,140,"canadian pop, indie quebecois","Pop, Blues","Phoenix",2021-04-23,03:44,50,49,8,0,22,0,10,-6,G Minor,4,2023-12-07,5RgwF8rV4QwwkCac6VPy3b,"Atlantic Records",6A,https://p.scdn.co/mp3-preview/923c96b303b75f2b1c56a069b54f7fda874f360c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048513a97df1466d0e9327afea2f0
13,"Nobody Knows","Russ",64,162,"hawaiian hip hop, pop rap","Hip Hop","Just In Case",2018-12-23,03:35,72,71,45,0,53,40,10,-10,E Major,4,2023-12-07,1pNAf6W7POwjOD8x8mWf8G,"Russ My Way Inc",12B,https://p.scdn.co/mp3-preview/f7e7d34d2f7269af7fce046dc48d13cff6879da9?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b07a301e09aece0feb090e25
14,"BAYBAY","BLOK3",76,145,"turkce drill","","BAYBAY",2023-03-17,03:11,72,57,22,0,78,10,10,-10,D#/E♭ Minor,4,2023-12-07,232LbugfZaCUwq82xiELtd,"Mundo Music",2A,https://p.scdn.co/mp3-preview/6c3326ab9b5dedb8eb4a34c475dec105b8ea0e6b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b72937f282a7ae43e04c57ac
